id;start_date;end_date;language
1;2024-06-30T20:09:11;2024-06-30T23:58:32;ENGLISH
2;2024-06-30T17:25:05;2024-06-30T23:23:17;SPANISH
3;2024-07-01T03:06:50;2024-07-01T03:43:59;FRENCH
4;2024-06-30T20:58:07;2024-06-30T15:10:45;ENGLISH
5;2024-06-30T07:08:22;2024-07-01T02:43:47;ENGLISH
6;2024-06-30T11:43:05;2024-06-30T16:43:31;FRENCH
7;2024-06-30T16:19:36;2024-06-30T16:30:41;FRENCH
8;2024-06-30T21:15:04;2024-07-01T01:46:51;FRENCH
9;2024-06-30T07:57:29;2024-06-30T07:57:07;ENGLISH
10;2024-06-30T22:32:57;2024-06-30T13:13:28;FRENCH
