id;street_address;postal_code;city;state_province
1;rake wiretap;optimistically;Pine Bluff;where aside
2;where narrow;flugelhorn cruel cello;Kaileebury;unless unbearably thrifty
3;incidentally;whose backdrop;Hoegerstad;obediently touch unlike
4;failing self-assured;sidestream cream future;Durganfort;but innocently
5;cajole oxidise dragoon;ugh questionably snarl;Stromanside;whenever
6;happily yuck;conscious;Lefflerfurt;fooey boo
7;unfreeze besides underneath;woot woot likewise;Welchworth;enable given fooey
8;these confectionery moist;aw sweetly view;Elijahstead;why palpitate
9;deforest;mmm carnation;Lake Kailee;psst pump
10;skip snarling;vastly manicure capitulation;Dallinstad;yum
